Title,Description,Preconditions,Steps,Results,State,Priority,Type,Tags,Folder
User Registration,"**Spec**: `auth.spec.ts`
**Test name**: `should redirect to My Account when a new user registers successfully`
**Fixture dependencies**: `page`
**Data requirements**:
**Risks**: Email uniqueness collision if not handled dynamically.",None (starts at Homepage).,1.  Navigate to Homepage `/en/`.,,Active,Critical,Functional,import,Imports
,,,"2.  Click ""Sign in"" link.",,,,,,
,,,"3.  Enter unique email in ""Create an account"" input.",,,,,,
,,,"4.  Click ""Create an account"".",,,,,,
,,,"5.  Fill ""First Name"", ""Last Name"", ""Password"", ""Title"".",,,,,,
,,,"6.  Click ""Register"".","- URL contains `controller=my-account`.
- Heading ""My account"" is visible.
- Success alert ""Your account has been created."" is visible.",,,,,
User Login,"**Spec**: `auth.spec.ts`
**Test name**: `should display dashboard when registered user logs in`
**Fixture dependencies**: `page` (No ""auth"" fixture, as we test login itself).
**Data requirements**:
**Risks**: Setup is slow; relies on Registration flow working.",,1.  Navigate to Homepage `/en/`.,,Active,Critical,Functional,import,Imports
,,,"2.  Click ""Sign in"".",,,,,,
,,,3.  Enter valid email/password (from setup).,,,,,,
,,,"4.  Click ""Sign in"" button.","- URL contains `controller=my-account`.
- Header User Info contains correct First/Last name.
- ""Sign out"" button is visible.
- Dashboard links (""Order History"", ""Credit Slips"") are visible.",,,,,
Room Search,"**Spec**: `room-search.spec.ts`
**Test name**: `should list available rooms when searching with valid dates`
**Fixture dependencies**: `page`
**Data requirements**: None (relies on default hotel inventory).
**Risks**: No inventory available for selected dates (flaky). *Mitigation*: Reset inventory before run or mock search results.",None.,1.  Navigate to Homepage.,,Active,High,Functional,import,Imports
,,,"2.  Type ""Hotel Prime"" in Location input.",,,,,,
,,,"3.  Select ""The Hotel Prime"" from typeahead info.",,,,,,
,,,"4.  Set Check-in to `Today + 1`, Check-out to `Today + 3` (using relative dates).",,,,,,
,,,"5.  Click ""Search Now"".","- URL contains `controller=search`.
- List of rooms `#center_column .room_cont` count is > 0.
- At least one room card contains text ""General Rooms"" (or known type).",,,,,
Add Room to Cart,"**Spec**: `room-search.spec.ts`
**Test name**: `should show success modal when adding a room to cart`
**Fixture dependencies**: `searchResults` (Fixture: navigates to Search page with results).
**Data requirements**: Rooms available.
**Risks**: ""Book Now"" might be disabled if room is sold out.",`searchResults` fixture logic (UI Search).,"1.  Click ""Book Now"" on first available room.",,Active,High,Functional,import,Imports
,,,2.  Wait for modal `#layer_cart` to be visible.,"- Modal header contains text ""Room successfully added to your cart"".
- ""Proceed to checkout"" button is visible and enabled.",,,,,
Occupancy Limits,"**Spec**: `room-search.spec.ts`
**Test name**: `should show error when exceeding max adult occupancy`
**Fixture dependencies**: `searchResults`
**Data requirements**: Room with specific limit (e.g., 2 adults).
**Risks**: Selector for ""+"" button might vary; logic might be JS-driven (slow).",`searchResults` fixture logic (UI Search).,1.  Find room with Max Adults = 2.,,Active,Medium,Functional,import,Imports
,,,"2.  Click ""+"" on Adults counter 3 times (0 -> 1 -> 2 -> 3 attempt).","- Error message ""Maximum adult occupancy reached"" (fancybox or tooltip) is visible.
- Adult count input value equals ""2"".",,,,,
